Transaction ID,Customer ID,Transaction Amount,Transaction Date,Payment Method,Product Category,Quantity,Customer Age,Customer Location,Device Used,IP Address,Is Fraudulent,Account Age Days,Transaction Hour
c35989ef-4378-4f0f-8aa,CUST_1098,2944.74,2024-03-01 23:03:42,credit card,beauty,5,39,New York,desktop_1187,56.119.13.144,1,12,23
01625741-7e0f-4727-bf8,CUST_1128,2596.85,2024-02-09 03:29:47,crypto,books,7,45,Istanbul,desktop_4618,228.159.60.164,1,5,3
b8e4bb0d-36f3-4429-a4c,CUST_1120,110.76,2024-05-24 09:07:03,crypto,automotive,4,54,Mumbai,mobile_9609,194.111.126.175,0,1319,9
61277580-ed84-4140-9a6,CUST_1038,37.68,2024-05-10 09:28:51,credit card,beauty,3,58,Los Angeles,tablet_9008,43.167.226.30,0,1479,9
ecbe5e1f-c4be-4034-abb,CUST_1116,75.8,2024-02-25 19:37:04,credit card,gaming,6,58,Jakarta,desktop_1356,145.29.236.173,0,1389,19
295461fc-3389-41fe-9c5,CUST_1138,232.6,2024-02-04 10:49:41,PayPal,books,7,62,New York,desktop_7698,16.35.241.9,0,1226,10
842d8c37-dbd1-43da-baf,CUST_1096,318.58,2024-02-02 16:46:14,credit card,electronics,5,39,Sydney,desktop_2943,97.41.68.168,0,846,16
3261af99-8bf6-4f78-92c,CUST_1139,463.39,2024-03-11 10:12:59,credit card,electronics,7,42,Sao Paulo,laptop_6671,109.194.117.64,0,1209,10
331ead37-a740-4c68-89e,CUST_1004,157.79,2024-03-03 08:47:02,PayPal,beauty,4,52,Toronto,mobile_8314,62.105.34.26,0,380,8
56e07818-0588-4d20-905,CUST_1014,155.29,2024-03-18 11:56:09,crypto,jewelry,7,73,Houston,desktop_6253,36.148.119.209,0,126,11
ae3d49aa-8dda-45f8-9bd,CUST_1015,147.5,2024-04-07 18:50:33,bank transfer,gaming,7,68,Dubai,laptop_1768,143.89.218.143,0,357,18
72b61cf0-4903-40cf-b84,CUST_1096,3266.04,2024-04-28 01:58:03,crypto,gaming,7,39,Sydney,laptop_9785,72.79.110.246,1,23,1
4bb76e2f-4da7-4b65-95e,CUST_1034,155.63,2024-04-04 15:05:34,debit card,electronics,5,59,Moscow,desktop_2295,100.124.130.53,0,1405,15
ed71d21c-394c-47dc-8f6,CUST_1010,205.84,2024-01-04 12:13:59,debit card,clothing,8,47,Phoenix,tablet_8854,224.37.96.206,0,1346,12
2ddb4b58-5670-4e93-a65,CUST_1052,342.26,2024-05-16 15:41:22,bank transfer,sports,6,73,Beijing,desktop_7236,102.122.164.199,0,467,15
9d1f0c22-1b78-499e-b6f,CUST_1127,311.16,2024-02-26 17:47:09,credit card,sports,9,38,Singapore,desktop_4328,120.50.240.195,0,1249,17
571c2265-cce6-4128-a7d,CUST_1148,98.27,2024-04-07 11:36:53,debit card,beauty,9,29,Los Angeles,tablet_6404,185.213.151.40,0,975,11
6e13f162-2aad-4c74-bd7,CUST_1086,203.29,2024-02-17 15:58:56,crypto,electronics,9,75,Moscow,tablet_6770,66.250.251.118,0,111,15
6574ee56-35e6-44de-9a9,CUST_1019,1357.34,2024-02-25 00:32:29,bank transfer,electronics,10,66,Sydney,tablet_4791,172.24.3.106,1,5,0
3abbef77-2da6-4c41-a59,CUST_1123,511.09,2024-05-15 08:46:17,crypto,sports,1,67,Dubai,laptop_1194,169.249.8.2,0,248,8
f4ec1b9b-060a-4ccd-aa8,CUST_1110,112.72,2024-03-05 16:52:22,bank transfer,gaming,2,42,London,mobile_9591,207.91.54.236,0,1391,16
8aa20989-025c-4c01-b91,CUST_1103,420.02,2024-04-13 09:24:24,crypto,beauty,1,34,Los Angeles,mobile_1519,118.124.115.77,0,419,9
615e58ab-05ee-4559-b6b,CUST_1043,503.39,2024-02-24 11:57:55,crypto,beauty,5,24,Houston,desktop_2562,22.255.222.166,0,419,11
c62d46ab-1371-45b5-8c1,CUST_1019,5613.7,2024-04-11 23:59:04,bank transfer,groceries,10,66,Sydney,laptop_9785,72.16.91.238,1,25,23
970ff309-87ce-405f-b6d,CUST_1099,42.66,2024-03-29 16:03:06,PayPal,jewelry,2,29,Seoul,tablet_2284,174.169.196.194,0,564,16
264fd369-2f41-4383-887,CUST_1101,180.31,2024-04-20 14:11:43,crypto,gaming,2,64,Lagos,desktop_8381,249.167.15.163,0,737,14
6b734ea7-e768-4b2d-8ae,CUST_1075,365.15,2024-06-11 14:09:47,PayPal,books,6,27,Sydney,desktop_3526,205.126.37.22,0,1163,14
34cc3938-c750-41ce-948,CUST_1001,4480.52,2024-04-14 22:06:01,credit card,books,9,35,Singapore,desktop_4150,114.184.138.27,1,18,22
be5c7178-a67b-4c0f-8a5,CUST_1083,5490.08,2024-04-07 23:10:08,bank transfer,sports,5,75,Phoenix,mobile_4977,4.149.211.100,1,6,23
08990c85-b1ec-44c7-9ca,CUST_1016,265.18,2024-06-09 11:31:38,crypto,jewelry,8,42,Jakarta,desktop_8933,43.222.141.108,0,818,11
7dad9245-00a3-4397-88d,CUST_1077,7393.43,2024-03-26 03:27:52,crypto,groceries,5,72,Sydney,desktop_7224,151.142.3.195,1,11,3
0eb0602c-59a7-426f-9f0,CUST_1051,280.51,2024-06-26 12:40:31,crypto,jewelry,6,28,Dubai,laptop_6228,123.160.90.247,0,514,12
a90af76c-5c3e-4c14-882,CUST_1100,509.47,2024-02-23 19:28:51,bank transfer,clothing,7,20,Houston,tablet_1440,94.58.102.152,0,573,19
bc858b10-0870-4a22-80c,CUST_1035,173.44,2024-04-06 20:04:28,crypto,beauty,10,46,Houston,tablet_7932,163.155.123.65,0,1089,20
8d0e5fa1-102d-42ee-8d4,CUST_1129,87.18,2024-03-04 09:42:42,bank transfer,groceries,10,65,Sao Paulo,desktop_9796,237.214.18.203,0,355,9
e912541f-8773-41c9-b24,CUST_1102,4455.38,2024-06-22 03:37:44,crypto,groceries,6,25,Beijing,laptop_9785,85.220.54.3,1,13,3
d0e5e066-795e-43e4-a4d,CUST_1123,227.05,2024-02-06 21:22:19,bank transfer,beauty,4,67,Dubai,mobile_2901,27.151.212.236,0,248,21
aae9571d-e5db-4678-a25,CUST_1089,422.62,2024-01-30 19:01:54,bank transfer,clothing,3,33,London,laptop_6225,122.49.224.185,0,346,19
82c26a35-b981-4941-a03,CUST_1062,186.07,2024-04-13 11:40:11,debit card,gaming,7,33,Seoul,laptop_8570,133.89.81.85,0,1196,11
774d3b0c-3821-423e-b61,CUST_1050,5534.25,2024-04-03 01:20:12,PayPal,clothing,5,52,New York,desktop_6635,110.199.2.181,1,18,1
dc67ea9b-7303-49a6-b31,CUST_1125,32.32,2024-02-14 17:52:43,bank transfer,clothing,3,72,Houston,laptop_2871,136.160.198.157,0,540,17
3ca23cbc-62d6-4b36-84b,CUST_1061,81.56,2024-04-17 14:38:08,crypto,gaming,7,61,Toronto,tablet_9369,79.59.93.96,0,169,14
a525f8b1-4f39-41b9-8eb,CUST_1137,224.63,2024-01-14 17:55:22,credit card,beauty,3,71,Dubai,desktop_3298,178.88.85.126,0,453,17
febeb26a-00f5-4349-93c,CUST_1098,272.49,2024-04-23 19:31:10,credit card,electronics,4,39,New York,laptop_7809,247.253.209.176,0,1128,19
c4d19298-9adc-4850-863,CUST_1070,322.79,2024-03-09 09:49:34,bank transfer,automotive,1,74,Toronto,laptop_9115,58.147.86.200,0,170,9
bff1f182-6e7c-438a-af7,CUST_1112,323.18,2024-01-09 21:28:16,bank transfer,clothing,8,36,Mumbai,tablet_5877,140.111.217.27,0,652,21
1698305c-6c95-4c45-9e9,CUST_1030,339.29,2024-02-22 11:51:03,crypto,books,9,60,Sao Paulo,desktop_8015,199.121.107.208,0,292,11
a3c5722c-558e-49c6-8a7,CUST_1137,209.93,2024-01-25 18:08:48,PayPal,electronics,5,71,Dubai,desktop_9428,44.165.149.75,0,453,18
f49387c4-c2e4-4c58-9cd,CUST_1032,364.25,2024-02-06 15:36:40,bank transfer,gaming,7,31,Istanbul,desktop_5055,180.67.127.38,0,896,15
a3470585-ef7d-4df9-b6c,CUST_1023,193.87,2024-01-01 17:55:49,credit card,beauty,6,71,Mexico City,laptop_6362,104.142.188.117,0,641,17
93241b52-bd55-4e8c-aaf,CUST_1136,171.49,2024-05-20 13:36:08,crypto,beauty,6,52,Singapore,tablet_9105,102.111.219.212,0,707,13
c30e09e4-9904-4f60-81f,CUST_1012,357.76,2024-04-26 15:00:27,debit card,groceries,5,45,Seoul,mobile_3588,12.50.235.5,0,1227,15
20538ba0-458b-4949-968,CUST_1070,1224.66,2024-06-28 02:48:14,PayPal,clothing,2,74,Toronto,desktop_1711,51.214.112.115,1,21,2
0d3399a5-64b0-4267-b60,CUST_1122,876.15,2024-01-31 02:55:27,debit card,beauty,2,62,New York,tablet_8291,196.172.52.24,1,23,2
3b5abbd1-b7d4-4e36-91f,CUST_1022,520.77,2024-02-04 20:41:43,debit card,clothing,9,50,Houston,desktop_5902,188.52.52.81,0,395,20
6156d9af-b035-4d5a-b70,CUST_1042,338.62,2024-06-24 17:28:55,debit card,clothing,2,68,Sao Paulo,tablet_7745,113.179.109.161,0,527,17
3150608f-4eed-426a-825,CUST_1031,2834.97,2024-06-04 22:18:49,credit card,sports,4,34,Mexico City,desktop_6635,99.179.219.81,1,20,22
8e615919-5a4c-4806-bb8,CUST_1130,167.71,2024-06-12 15:38:04,crypto,electronics,6,71,Sydney,mobile_4921,49.200.151.166,0,536,15
a9414edf-55ad-40bb-96a,CUST_1033,310.91,2024-01-19 20:01:37,credit card,electronics,5,30,Berlin,tablet_8717,100.215.187.140,0,1442,20
dc240ad9-88db-4c1b-82b,CUST_1015,83.34,2024-05-17 16:39:09,bank transfer,clothing,5,68,Dubai,laptop_7939,243.203.146.161,0,357,16
00b32203-5b9f-4f62-954,CUST_1052,6785.66,2024-03-03 00:05:59,PayPal,clothing,8,73,Beijing,mobile_8167,40.167.200.151,1,8,0
f667ee58-19b5-40a5-8f3,CUST_1014,187.35,2024-05-07 10:22:33,crypto,sports,3,73,Houston,tablet_1185,80.89.61.4,0,126,10
4cfd7043-698a-4559-98a,CUST_1068,199.62,2024-06-09 17:04:31,PayPal,automotive,6,24,Chicago,laptop_5456,188.60.15.86,0,1183,17
e21b79e3-888a-46d1-838,CUST_1145,2672.92,2024-01-12 00:54:55,credit card,jewelry,1,26,Jakarta,desktop_2889,189.52.44.152,1,17,0
e9ce2cc7-33db-4a3b-a3a,CUST_1098,171.66,2024-03-23 11:15:26,bank transfer,sports,2,39,New York,mobile_7870,236.76.91.239,0,1128,11
cc953b49-40e8-47c8-a14,CUST_1030,408.81,2024-03-20 12:20:05,crypto,beauty,1,60,Sao Paulo,mobile_7568,129.26.91.58,0,292,12
e7e6b26c-ea92-4a16-b75,CUST_1074,430.55,2024-02-20 20:46:57,crypto,jewelry,3,34,Houston,desktop_9083,145.155.124.119,0,305,20
4538c2cd-766d-40ff-90c,CUST_1104,8598.12,2024-04-06 23:54:47,bank transfer,clothing,4,51,Istanbul,desktop_1157,72.79.110.246,1,1,23
